,Date,000660.KS,005930.KS,AMD,AMZN,ASML,GOOG,INTC,MSFT,MU,NVDA,TSM,^GSPC,^IXIC,^SOX,000660.KS_chg,005930.KS_chg,AMD_chg,AMZN_chg,ASML_chg,GOOG_chg,INTC_chg,MSFT_chg,MU_chg,NVDA_chg,TSM_chg,^GSPC_chg,^IXIC_chg,^SOX_chg,Analyst Action,Insider Sales,Surprise,Surprise Perc,Short,Short Perc,PE Ratio,Volume,Interest Rate,50D SMA,200D SMA
1089,2023-07-20,116159.34375,70297.8046875,110.25,129.9600067138672,670.3331909179688,119.52999877929688,32.91086959838867,344.7984313964844,64.43370056152344,455.10113525390625,96.50617218017578,4534.8701171875,14063.3095703125,3663.85009765625,-0.5106422272496469,-0.9762917399274262,-5.307910580586894,-3.9893571750408308,-5.539419458292727,-2.6470109401467212,-3.1630705863192277,-2.3121498234488946,-0.4156377130527966,-3.3073415791125327,-5.045602557448536,-0.6756896218903741,-2.052580861142228,-3.6249905998735232,,,,,17417996.0,0.5338907443,,53786500.0,5.08,388.8018,243.9216
1090,2023-07-21,114370.75,69604.7265625,110.94999694824219,130.0,687.41552734375,120.30999755859375,33.55192184448242,341.7169189453125,65.38990783691406,442.9937744140625,95.90461730957031,4536.33984375,14032.8095703125,3698.85009765625,-1.5397760457819376,-0.9859171677991774,0.634917866886342,0.030773533446226686,2.5483351648436736,0.6525548291329564,1.9478435359396862,-0.8937141734349785,1.484017318666342,-2.66036709249009,-0.6233330542655624,0.03240945218980773,-0.21687640343482917,0.9552792572597113,,,,,17626695.0,0.5295128224,,96283200.0,5.08,392.1795,245.5936
1091,2023-07-24,113277.71875,69703.7421875,110.61000061035156,128.8000030517578,678.6116333007812,121.87999725341797,33.16728973388672,343.0489196777344,65.22057342529297,446.0231018066406,96.89077758789062,4554.64013671875,14058.8701171875,3692.320068359375,-0.9556912497294956,0.1422541684882539,-0.3064410520436822,-0.9230745755709147,-1.2807237679061445,1.3049619538555657,-1.146378774898571,0.389796541691001,-0.25896108011563834,0.6838306918838688,1.0282719497613835,0.4034153877153557,0.18571154083166785,-0.1765421448415183,,,,,10610979.0,0.4417782494,,38251600.0,5.08,395.3247,247.1862
1092,2023-07-25,112681.53125,69307.6953125,113.0,129.1300048828125,681.4074096679688,122.79000091552734,33.630821228027344,348.8838806152344,65.4197769165039,456.6907958984375,98.93212890625,4567.4599609375,14144.5595703125,3755.27001953125,-0.5263060614027371,-0.5681859575554116,2.160744396040415,0.2562125956798944,0.41198473913404143,0.7466390569547343,1.3975561399792058,1.7009122031287793,0.30543045046838024,2.3917357752517354,2.106858226530006,0.2814673351556163,0.6095045505843499,1.704888796377979,,,,,10540832.0,0.4723881774,,34808100.0,5.08,398.5336,248.7877
1093,2023-07-26,112284.0546875,69109.671875,110.08999633789062,128.14999389648438,678.43310546875,129.66000366210938,33.887245178222656,335.7527770996094,67.113037109375,454.4212646484375,98.03473663330078,4566.75,14127.2802734375,3699.3701171875,-0.3527433094764554,-0.28571637912231385,-2.5752244797428103,-0.7589335934878205,-0.4364942554217377,5.594920348040566,0.7624671085391554,-3.763746118757094,2.588300163469248,-0.49695138820023965,-0.9070787042292472,-0.015543889679858758,-0.12216214148701443,-1.4885721147351094,,,,,12044596.0,0.5085614731,,36423700.0,5.08,402.0318,250.4277
1094,2023-07-27,123214.3671875,70990.8828125,111.0999984741211,128.25,702.0489501953125,129.8699951171875,34.07463455200195,328.7448425292969,70.7884292602539,458.90032958984375,97.97555541992188,4537.41015625,14050.1103515625,3768.27001953125,9.734518877520394,2.722066082013219,0.9174331636187416,0.07803832093540297,3.48093931976472,0.1619554597772188,0.5529790716057414,-2.0872305601908447,5.4764205423889045,0.9856635879202269,-0.06036759562100258,-0.6424666064487883,-0.5462475464587224,1.8624765882071959,,,,,13362033.0,0.4687800354,,45597600.0,5.33,405.6337,252.1284
1095,2023-07-28,127189.0234375,69901.7578125,112.95999908447266,132.2100067138672,712.2110595703125,133.00999450683594,36.32326126098633,336.34918212890625,70.91790008544922,467.3984680175781,99.46466064453125,4582.22998046875,14316.66015625,3851.760009765625,3.2258058380088217,-1.534175878438615,1.674167989106512,3.0877245332297854,1.4474929949219062,2.4178020387350285,6.59912201127999,2.3131433914227006,0.18289828796640428,1.8518484036239125,1.5198742362082962,0.9877842794752345,1.8971367342880407,2.215605299026868,,,,,8877839.0,0.4400080212,,33119400.0,5.33,409.1990,253.8598
1096,2023-07-31,122618.1640625,69109.671875,114.4000015258789,133.67999267578125,710.2678833007812,133.11000061035156,35.27784729003906,333.913818359375,71.1071548461914,467.18853759765625,97.77832794189453,4588.9599609375,14346.01953125,3861.6298828125,-3.5937530232285297,-1.13314165807481,1.2747897070443548,1.1118568090654923,-0.2728371377304306,0.07518690898862257,-2.8780840008716724,-0.7240581808811708,0.26686458639377797,-0.04491465725428023,-1.6954088936807055,0.14687129405193122,0.20507139709664557,0.25624319848203125,,,,,7169324.0,0.4611421516,112.85,25105500.0,5.33,412.6329,255.6194
1097,2023-08-01,124307.3984375,70396.8203125,117.5999984741211,131.69000244140625,704.19970703125,131.88999938964844,35.307430267333984,334.331298828125,70.47965240478516,464.968994140625,97.03870391845703,4576.72998046875,14283.91015625,3858.2099609375,1.3776379608317901,1.8624722163752772,2.797200092273,-1.4886223394710907,-0.8543503672629793,-0.9165361093148805,0.08385709323956991,0.12502641274363402,-0.8824744046693644,-0.47508516977844417,-0.7564294041487618,-0.2665087639215691,-0.4329380345865719,-0.08856161721302325,,,,,6837910.0,0.4571125456,,23785800.0,5.33,415.8427,257.3633
1098,2023-08-02,118742.875,69208.6796875,109.3499984741211,128.2100067138672,678.7130126953125,128.63999938964844,33.91683578491211,325.5440979003906,67.89991760253906,442.5938720703125,94.37605285644531,4513.39013671875,13973.4501953125,3711.60009765625,-4.4764217636633745,-1.6877759815368099,-7.015306213473704,-2.6425663778747666,-3.6192423940906937,-2.464174702433941,-3.9385321216889535,-2.628291445800812,-3.66025471781547,-4.812175080978709,-2.743906250282546,-1.3839541336347905,-2.173494215109273,-3.7999451757577574,,,,,15208864.0,0.4470615749,,53014200.0,5.33,418.7018,259.1062
