,Date,NVDA,000660.KS_pvd,005930.KS_pvd,AMD_pvd,AMZN_pvd,ASML_pvd,GOOG_pvd,MSFT_pvd,MU_pvd,NVDA_pvd,TSM_pvd,^GSPC_pvd,^IXIC_pvd,^SOX_pvd,Interest Rate_pvd,50D SMA_pvd,200D SMA_pvd
409,2015-12-09,7.982883930206299,26596.38671875,20278.59375,2.390000104904175,33.86650085449219,82.9454345703125,38.118499755859375,49.487152099609375,14.339073181152344,8.190328598022461,18.197345733642578,2063.590087890625,5098.240234375,679.030029296875,0.13,7.0289,5.6990
410,2015-12-10,8.04877758026123,26640.423828125,20294.658203125,2.3499999046325684,33.239498138427734,82.3498306274414,37.580501556396484,48.7686653137207,14.064075469970703,7.982883930206299,17.921388626098633,2047.6199951171875,5022.8701171875,670.2899780273438,0.14,7.0781,5.7131
411,2015-12-11,7.929193496704102,26684.45703125,20616.033203125,2.450000047683716,33.11600112915039,81.69007873535156,37.472999572753906,49.025901794433594,14.397998809814453,8.04877758026123,17.858312606811523,2052.22998046875,5045.169921875,674.22998046875,0.14,7.1219,5.7265
412,2015-12-14,7.948715686798096,26288.150390625,20632.103515625,2.359999895095825,32.00749969482422,79.97655487060547,36.94350051879883,47.95258712768555,13.789080619812012,7.929193496704102,17.487747192382812,2012.3699951171875,4933.47021484375,660.780029296875,0.14,7.1614,5.7396
413,2015-12-15,8.04633617401123,25539.580078125,20262.52734375,2.3399999141693115,32.89550018310547,79.22515869140625,37.38850021362305,48.91058349609375,13.415870666503906,7.948715686798096,17.51927947998047,2021.93994140625,4952.22998046875,656.489990234375,0.15,7.2032,5.7528
414,2015-12-16,8.095146179199219,25891.84765625,20519.623046875,2.359999895095825,32.93199920654297,81.406005859375,37.16999816894531,48.96381378173828,13.926576614379883,8.04633617401123,17.992351531982422,2043.4100341796875,4995.35986328125,666.469970703125,0.15,7.2426,5.7660
415,2015-12-17,7.973123073577881,26772.52734375,20873.130859375,2.5399999618530273,33.78850173950195,81.88251495361328,37.90449905395508,49.78874206542969,13.818543434143066,8.095146179199219,18.260419845581055,2073.070068359375,5071.1298828125,671.7000122070312,0.15,7.2816,5.7796
416,2015-12-18,7.84377384185791,26640.423828125,20728.51171875,2.559999942779541,33.532501220703125,80.57217407226562,37.471500396728516,49.407318115234375,14.064075469970703,7.973123073577881,18.102731704711914,2041.8900146484375,5002.5498046875,661.7100219726562,0.37,7.3182,5.7932
417,2015-12-21,8.029251098632812,26948.658203125,20535.6875,2.450000047683716,33.207000732421875,80.1048355102539,36.96549987792969,48.01469039916992,14.103360176086426,7.84377384185791,18.079078674316406,2005.550048828125,4923.080078125,653.719970703125,0.37,7.3506,5.8054
418,2015-12-22,8.036578178405762,26860.591796875,20567.828125,2.5299999713897705,33.22549819946289,81.76338195800781,37.38850021362305,48.6356086730957,14.506034851074219,8.029251098632812,18.094844818115234,2021.1500244140625,4968.919921875,666.1300048828125,0.36,7.3826,5.8178
419,2015-12-23,8.0683012008667,28357.73828125,20760.65625,2.7699999809265137,33.157501220703125,82.83547973632812,37.5,49.09685516357422,14.348892211914062,8.036578178405762,18.181575775146484,2038.969970703125,5001.10986328125,667.1099853515625,0.36,7.4167,5.8307
420,2015-12-24,8.095146179199219,28798.080078125,20808.85546875,2.8299999237060547,33.185001373291016,83.67848205566406,37.515499114990234,49.51374053955078,14.044432640075684,8.0683012008667,18.197345733642578,2064.2900390625,5045.93017578125,671.780029296875,0.36,7.4506,5.8432
421,2015-12-28,8.087823867797852,27917.40625,20648.173828125,2.9200000762939453,33.13949966430664,83.78845977783203,37.41999816894531,49.380699157714844,14.221216201782227,8.095146179199219,18.252538681030273,2060.989990234375,5048.490234375,674.3900146484375,0.36,7.4830,5.8562
422,2015-12-29,8.219613075256348,27212.861328125,20342.8671875,3.0,33.7599983215332,83.90755462646484,38.1254997253418,49.62908172607422,13.93639850616455,8.087823867797852,18.142154693603516,2056.5,5040.990234375,671.75,0.36,7.5099,5.8690
423,2015-12-30,8.148837089538574,27928.9921875,20473.482421875,3.0,34.69850158691406,84.2282943725586,38.83000183105469,50.161293029785156,14.083719253540039,8.219613075256348,18.197345733642578,2078.360107421875,5107.93994140625,679.780029296875,0.36,7.5379,5.8819
424,2015-12-31,8.04389476776123,27526.166015625,20571.43359375,2.9800000190734863,34.45349884033203,83.69681549072266,38.54999923706055,49.94840621948242,13.90693473815918,8.148837089538574,18.03965950012207,2063.360107421875,5065.85009765625,673.0800170898438,0.35,7.5662,5.8954
425,2016-01-04,7.899906635284424,27526.166015625,20571.43359375,2.869999885559082,33.794498443603516,81.34186553955078,37.944000244140625,49.212162017822266,13.90693473815918,8.04389476776123,17.937158584594727,2043.93994140625,5007.41015625,663.47998046875,0.20,7.5943,5.9080
426,2016-01-05,8.026809692382812,26989.0703125,19673.474609375,2.7699999809265137,31.84950065612793,79.9948959350586,37.09199905395508,48.60898971557617,14.073895454406738,7.899906635284424,17.416784286499023,2012.6600341796875,4903.08984375,656.280029296875,0.36,7.6160,5.9198
427,2016-01-06,7.694904327392578,27391.892578125,19722.462890625,2.75,31.68950080871582,79.18852233886719,37.12900161743164,48.83075714111328,14.555139541625977,8.026809692382812,17.306400299072266,2016.7099609375,4891.43017578125,649.469970703125,0.36,7.6422,5.9318
428,2016-01-07,7.389841556549072,27526.166015625,19183.6875,2.509999990463257,31.63249969482422,77.52996826171875,37.180999755859375,47.94374084472656,13.965863227844238,7.694904327392578,16.825450897216797,1990.260009765625,4835.759765625,631.2000122070312,0.36,7.6607,5.9438
429,2016-01-08,7.231206893920898,27033.828125,18987.7578125,2.2799999713897705,30.39699935913086,75.58737182617188,36.31949996948242,46.276123046875,13.415870666503906,7.389841556549072,16.63622283935547,1943.0899658203125,4689.43017578125,610.25,0.36,7.6717,5.9541
430,2016-01-11,7.243411064147949,26586.25,19118.37890625,2.140000104904175,30.352500915527344,73.56230163574219,35.7234992980957,46.41804504394531,13.091767311096191,7.231206893920898,16.407567977905273,1922.030029296875,4643.6298828125,600.47998046875,0.36,7.6836,5.9645
431,2016-01-12,7.365436553955078,25646.33203125,18808.171875,2.3399999141693115,30.886999130249023,75.42244720458984,35.80149841308594,46.39142990112305,12.306062698364258,7.243411064147949,16.50218391418457,1923.6700439453125,4637.990234375,603.5499877929688,0.36,7.6892,5.9759
432,2016-01-13,7.140910625457764,24885.447265625,18710.2109375,2.390000104904175,30.894500732421875,75.7339859008789,36.30350112915039,46.81720733642578,12.492669105529785,7.365436553955078,16.360265731811523,1938.6800537109375,4685.919921875,608.5599975585938,0.36,7.6995,5.9873
433,2016-01-14,6.996919631958008,25153.99609375,18742.87109375,2.25,29.090499877929688,73.31489562988281,35.02799987792969,45.805992126464844,11.844466209411621,7.140910625457764,16.14738655090332,1890.280029296875,4526.06005859375,589.47998046875,0.36,7.7119,5.9986
434,2016-01-15,6.616201400756836,24974.962890625,18579.59765625,2.2100000381469727,29.649999618530273,75.96307373046875,35.736000061035156,47.10992431640625,11.805180549621582,6.996919631958008,17.203901290893555,1921.8399658203125,4615.0,601.5700073242188,0.36,7.7134,6.0077
435,2016-01-18,6.616201400756836,23990.2890625,18481.63671875,2.0299999713897705,28.509000778198242,70.98743438720703,34.72249984741211,45.229427337646484,10.881980895996094,6.616201400756836,16.63622283935547,1880.3299560546875,4488.419921875,574.2899780273438,0.36,7.7089,6.0160
436,2016-01-19,6.669893741607666,23900.76953125,18383.68359375,2.0299999713897705,28.509000778198242,70.98743438720703,34.72249984741211,45.229427337646484,10.881980895996094,6.616201400756836,16.63622283935547,1880.3299560546875,4488.419921875,574.2899780273438,0.36,7.7089,6.0160
437,2016-01-20,6.70650053024292,25333.02734375,19118.37890625,1.9500000476837158,28.724000930786133,73.59894561767578,35.089500427246094,44.84800720214844,10.606985092163086,6.669893741607666,17.0777530670166,1881.3299560546875,4476.9501953125,575.1799926757812,0.36,7.7058,6.0243
438,2016-01-21,6.784597396850586,23990.2890625,18579.59765625,1.7999999523162842,28.588499069213867,78.12557220458984,34.92250061035156,45.05202102661133,9.870388984680176,6.70650053024292,16.628339767456055,1859.3299560546875,4471.68994140625,578.9400024414062,0.37,7.6997,6.0317
439,2016-01-22,6.943230152130127,23811.255859375,18465.318359375,2.0899999141693115,28.750999450683594,80.04987335205078,35.329498291015625,44.77704620361328,10.656088829040527,6.784597396850586,16.81756591796875,1868.989990234375,4472.06005859375,587.5599975585938,0.37,7.6872,6.0395
