,Date,NVDA,000660.KS_pvd,005930.KS_pvd,AMD_pvd,AMZN_pvd,ASML_pvd,GOOG_pvd,MSFT_pvd,MU_pvd,NVDA_pvd,TSM_pvd,^GSPC_pvd,^IXIC_pvd,^SOX_pvd,Interest Rate_pvd,50D SMA_pvd,200D SMA_pvd
2,2024-05-08,904.1199951171875,179600.0,81300.0,154.42999267578125,188.75999450683594,908.219970703125,172.97999572753906,409.3399963378906,119.20999908447266,905.5399780273438,141.11000061035156,5187.7001953125,16332.5595703125,4784.8798828125,5.33,871.1784,593.2744
3,2024-05-09,887.469970703125,178000.0,81300.0,153.6199951171875,188.0,911.469970703125,171.16000366210938,410.5400085449219,119.31999969482422,904.1199951171875,143.60000610351562,5187.669921875,16302.759765625,4790.3798828125,5.33,873.1994,595.5125
4,2024-05-10,898.780029296875,175400.0,79700.0,152.38999938964844,189.5,913.5399780273438,171.5800018310547,412.32000732421875,117.80999755859375,887.469970703125,142.7899932861328,5214.080078125,16346.259765625,4759.77001953125,5.33,875.7819,597.7924
5,2024-05-13,903.989990234375,179900.0,79200.0,151.9199981689453,187.47999572753906,930.2899780273438,170.2899932861328,414.739990234375,121.23999786376953,898.780029296875,149.25999450683594,5222.68017578125,16340.8701171875,4808.02978515625,5.33,878.0248,600.0071
6,2024-05-14,913.5599975585938,183800.0,78400.0,150.55999755859375,186.57000732421875,917.239990234375,170.89999389648438,413.7200012207031,123.0,903.989990234375,146.41000366210938,5221.419921875,16388.240234375,4823.08984375,5.33,880.1211,602.2055
7,2024-05-15,946.2999877929688,185300.0,78300.0,153.16000366210938,187.07000732421875,915.030029296875,171.92999267578125,416.55999755859375,124.80999755859375,913.5599975585938,151.9499969482422,5246.68017578125,16511.1796875,4903.93017578125,5.33,881.2157,604.3526
